surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
clay,42,Roberto Bautista Agut [ESP],13,6-7,46.20%,59.20%,59.90%,17,1.80%,23,2.40%,6.10%,60.80%,65.50%,49.50%,52.70%,71.90%,6.6,2.7
clay,43,Matteo Arnaldi [ITA],17,8-9,47.10%,59.70%,58.90%,99,6.90%,50,3.50%,7.80%,55.60%,69.50%,47.30%,51.40%,74.30%,6.7,2.7
clay,44,Jordan Thompson [AUS],5,2-3,40.00%,62.90%,62.70%,17,4.50%,9,2.40%,5.70%,58.40%,68.00%,55.70%,59.10%,71.90%,5.9,2.2
clay,45,Marcos Giron [USA],11,4-7,36.40%,60.50%,59.70%,50,5.30%,21,2.20%,5.20%,57.70%,68.80%,49.30%,52.00%,75.00%,7,2.8
clay,46,Quentin Halys [FRA],12,7-5,58.30%,66.80%,67.00%,114,11.40%,59,5.90%,12.60%,52.90%,78.20%,54.00%,61.80%,84.30%,6.3,2.1
clay,47,Lorenzo Sonego [ITA],9,3-6,33.30%,63.00%,64.00%,28,3.80%,27,3.60%,10.30%,64.60%,70.00%,50.20%,55.90%,78.20%,6.2,2.3
clay,48,Gael Monfils [FRA],7,3-4,42.90%,58.40%,57.10%,58,8.80%,29,4.40%,10.80%,59.50%,68.20%,44.00%,49.40%,71.90%,6.9,2.9
clay,49,Miomir Kecmanovic [SRB],8,2-6,25.00%,62.20%,62.10%,31,3.70%,17,2.00%,5.20%,60.90%,68.30%,52.80%,55.70%,80.80%,6.7,2.5
clay,50,Zizou Bergs [BEL],8,2-6,25.00%,61.70%,62.20%,35,5.70%,27,4.40%,11.70%,62.60%,68.20%,50.60%,57.40%,76.30%,6.6,2.5
grass,1,Jannik Sinner [ITA],2,1-1,50.00%,69.70%,67.70%,16,10.50%,3,2.00%,5.90%,66.40%,80.20%,49.00%,52.10%,92.00%,6.1,1.8
grass,2,Carlos Alcaraz [ESP],5,5-0,100.00%,74.00%,73.30%,60,15.40%,18,4.60%,12.00%,61.40%,82.00%,61.30%,69.70%,96.90%,6,1.6
grass,3,Alexander Zverev [GER],8,6-2,75.00%,72.00%,69.80%,66,11.10%,10,1.70%,7.10%,76.40%,77.90%,52.90%,56.90%,93.60%,6.3,1.8
grass,4,Jack Draper [GBR],4,3-1,75.00%,70.80%,68.60%,50,15.70%,13,4.10%,11.60%,64.80%,82.00%,50.00%,56.60%,92.60%,5.9,1.7
grass,5,Taylor Fritz [USA],9,8-1,88.90%,72.90%,69.10%,115,16.40%,13,1.90%,5.50%,66.00%,80.80%,57.60%,60.90%,93.20%,5.9,1.6
grass,8,Holger Rune [DEN],3,2-1,66.70%,68.10%,68.20%,27,10.60%,13,5.10%,12.40%,58.70%,79.90%,51.40%,58.70%,89.20%,6.9,2.2
