surface,ranking,player_name,matches_played,dominance_ratio,points,total_points_won_pct,tiebreaks_played,tiebreak_record,tiebreak_win_pct,tiebreaks_per_set,sets_played,set_record,set_win_pct,games_played,game_record,game_win_pct,time_per_match,minutes_per_set,seconds_per_point
clay,426,Jack Loge,5,1.021,906,50.55%,2,2-0,100.00%,0.143,14,7-7,50.00%,135,67-68,49.63%,,,
clay,307,Jacopo Berrettini,7,0.945,1069,47.15%,4,1-3,25.00%,0.235,17,6-11,35.29%,161,70-91,43.48%,,,
clay,362,Jacopo Vasami,21,0.920,2898,49.97%,10,6-4,60.00%,0.222,45,23-22,51.11%,441,219-222,49.66%,,,
clay,79,Jaime Faria,42,1.105,7024,50.63%,23,11-12,47.83%,0.209,110,61-49,55.45%,1092,561-531,51.37%,,,
clay,17,Jakub Mensik,12,1.045,2281,50.24%,6,6-0,100.00%,0.158,38,24-14,63.16%,361,186-175,51.52%,,,
clay,94,James Duckworth,14,1.019,2168,52.26%,6,4-2,66.67%,0.171,35,23-12,65.71%,339,187-152,55.16%,,,
clay,931,Jamie Mackenzie,7,1.204,980,51.63%,3,3-0,100.00%,0.176,17,11-6,64.71%,162,84-78,51.85%,,,
clay,88,Jan Choinski,51,1.198,7442,52.32%,16,8-8,50.00%,0.132,121,77-44,63.64%,1179,640-539,54.28%,,,
clay,508,Jan Kumstat,12,1.319,1619,53.49%,1,0-1,0.00%,0.036,28,19-9,67.86%,261,148-113,56.70%,,,
clay,42,Jan-Lennard Struff,12,0.859,1947,48.13%,8,3-5,37.50%,0.258,31,13-18,41.94%,313,145-168,46.33%,,,
clay,1,Jannik Sinner,19,1.709,2508,56.74%,4,2-2,50.00%,0.089,45,39-6,86.67%,410,261-149,63.66%,,,
clay,43,Jaume Munar,12,0.941,1677,48.48%,2,1-1,50.00%,0.069,29,12-17,41.38%,255,117-138,45.88%,,,
clay,373,Javier Barranco Cosano,6,1.121,698,52.58%,0,0-0,,0.000,13,7-6,53.85%,109,59-50,54.13%,,,
clay,239,Jay Clarke,31,1.101,4776,51.65%,7,1-6,14.29%,0.091,77,43-34,55.84%,712,384-328,53.93%,,,
clay,501,Jelle Sels,17,0.846,2175,48.09%,3,0-3,0.00%,0.079,38,16-22,42.11%,333,151-182,45.35%,,,
clay,1091,Jenson Brooksby,6,0.649,857,44.34%,1,0-1,0.00%,0.077,13,0-13,0.00%,132,50-82,37.88%,,,
clay,198,Jerome Kym,13,1.096,2152,50.42%,9,5-4,55.56%,0.273,33,18-15,54.55%,337,169-168,50.15%,,,
clay,98,Jesper de Jong,25,1.078,4324,51.71%,9,5-4,55.56%,0.129,70,39-31,55.71%,674,365-309,54.15%,,,
clay,12,Jiri Lehecka,10,0.946,1511,49.64%,6,4-2,66.67%,0.250,24,12-12,50.00%,245,122-123,49.80%,,,
clay,448,Joao Eduardo Schiessl,18,0.848,2311,47.68%,2,2-0,100.00%,0.050,40,15-25,37.50%,364,164-200,45.05%,,,
clay,27,Joao Fonseca,17,1.088,3158,51.61%,8,5-3,62.50%,0.157,51,30-21,58.82%,511,272-239,53.23%,,,
clay,259,Joao Lucas Reis Da Silva,46,0.981,6616,49.98%,12,4-8,33.33%,0.107,112,55-57,49.11%,1043,514-529,49.28%,,,
clay,582,Joaquin Aguilar Cardozo,15,0.876,2098,49.14%,5,2-3,40.00%,0.139,36,14-22,38.89%,316,145-171,45.89%,,,
clay,183,Joel Schwaerzler,38,0.954,5688,50.51%,23,13-10,56.52%,0.258,89,47-42,52.81%,901,462-439,51.28%,,,
clay,560,Johan Alexander Rodriguez,12,0.943,1684,49.88%,2,1-1,50.00%,0.074,27,15-12,55.56%,262,134-128,51.15%,,,
clay,412,Johan Nikles,8,0.974,1163,50.13%,0,0-0,,0.000,19,9-10,47.37%,170,84-86,49.41%,,,
clay,314,Jonas Forejtek,21,0.914,3211,49.39%,12,4-8,33.33%,0.235,51,23-28,45.10%,500,247-253,49.40%,,,
clay,801,Jozef Kovalik,5,0.878,671,47.54%,0,0-0,,0.000,12,4-8,33.33%,111,50-61,45.05%,,,
clay,276,Juan Bautista Torres,52,0.997,7736,50.52%,17,7-10,41.18%,0.137,124,62-62,50.00%,1166,596-570,51.11%,,,
clay,157,Juan Carlos Prado Angelo,52,0.940,7910,50.01%,21,13-8,61.90%,0.174,121,66-55,54.55%,1204,607-597,50.42%,,,
clay,457,Juan Cruz Martin Manzano,11,0.791,1547,46.93%,2,1-1,50.00%,0.074,27,12-15,44.44%,248,113-135,45.56%,,,
clay,343,Juan Estevez,19,1.108,2778,50.07%,5,2-3,40.00%,0.111,45,21-24,46.67%,432,215-217,49.77%,,,
clay,52,Juan Manuel Cerundolo,36,1.030,5699,51.01%,16,6-10,37.50%,0.174,92,50-42,54.35%,900,466-434,51.78%,,,
clay,287,Juan Manuel La Serna,41,1.052,5820,51.22%,11,5-6,45.45%,0.113,97,54-43,55.67%,887,462-425,52.09%,,,
clay,273,Juan Pablo Ficovich,22,1.015,3103,50.73%,6,2-4,33.33%,0.115,52,26-26,50.00%,486,254-232,52.26%,,,
clay,274,Juan Pablo Varillas,53,1.000,7619,50.60%,22,10-12,45.45%,0.182,121,66-55,54.55%,1175,609-566,51.83%,,,
clay,562,Juan Sebastian Gomez,13,0.987,1854,48.81%,2,0-2,0.00%,0.067,30,12-18,40.00%,288,134-154,46.53%,,,
clay,840,Juan Sebastian Osorio,5,0.972,773,48.64%,2,1-1,50.00%,0.154,13,5-8,38.46%,120,55-65,45.83%,,,
clay,136,Jurij Rodionov,17,0.944,2663,49.68%,10,4-6,40.00%,0.244,41,19-22,46.34%,414,203-211,49.03%,,,
clay,190,Justin Engel,17,0.780,2762,47.68%,9,8-1,88.89%,0.209,43,19-24,44.19%,433,194-239,44.80%,,,
clay,39,Karen Khachanov,13,1.117,2254,51.20%,8,6-2,75.00%,0.222,36,20-16,55.56%,361,185-176,51.25%,,,
clay,611,Karl Poling,5,0.798,655,45.95%,0,0-0,,0.000,12,4-8,33.33%,107,44-63,41.12%,,,
clay,209,Keegan Smith,6,0.962,773,51.49%,4,4-0,100.00%,0.308,13,8-5,61.54%,131,68-63,51.91%,,,
clay,242,Kilian Feldbausch,37,1.183,5153,52.45%,10,4-6,40.00%,0.116,86,55-31,63.95%,796,440-356,55.28%,,,
clay,199,Kimmer Coppejans,34,1.129,4863,51.82%,8,3-5,37.50%,0.103,78,49-29,62.82%,740,401-339,54.19%,,,
clay,270,Kyrian Jacquet,9,1.089,1444,50.00%,4,2-2,50.00%,0.167,24,11-13,45.83%,215,108-107,50.23%,,,
clay,221,Laslo Djere,25,1.139,3609,50.60%,11,7-4,63.64%,0.200,55,32-23,58.18%,556,288-268,51.80%,,,
clay,473,Laurent Lokoli,6,0.882,792,47.60%,1,0-1,0.00%,0.071,14,5-9,35.71%,125,58-67,46.40%,,,
clay,213,Lautaro Midon,50,1.001,7716,50.06%,12,7-5,58.33%,0.096,125,65-60,52.00%,1185,586-599,49.45%,,,
clay,19,Learner Tien,13,1.133,2183,51.35%,4,4-0,100.00%,0.108,37,20-17,54.05%,347,181-166,52.16%,,,
clay,646,Leo Raquillet,5,0.739,678,46.61%,0,0-0,,0.000,12,5-7,41.67%,114,51-63,44.74%,,,
clay,202,Liam Broady,7,1.020,955,50.47%,0,0-0,,0.000,17,8-9,47.06%,149,75-74,50.34%,,,
clay,246,Liam Draxl,7,0.919,1118,47.50%,4,1-3,25.00%,0.235,17,5-12,29.41%,165,74-91,44.85%,,,
clay,298,Lilian Marmousez,8,0.973,1255,48.84%,4,2-2,50.00%,0.190,21,11-10,52.38%,205,100-105,48.78%,,,
clay,477,Lorenzo Carboni,11,0.882,1540,47.66%,3,0-3,0.00%,0.111,27,8-19,29.63%,245,108-137,44.08%,,,
clay,201,Lorenzo Giustino,34,0.950,4903,50.25%,10,7-3,70.00%,0.123,81,46-35,56.79%,762,393-369,51.57%,,,
clay,454,Lorenzo Joaquin Rodriguez,21,0.975,2836,49.37%,7,2-5,28.57%,0.152,46,18-28,39.13%,428,207-221,48.36%,,,
clay,13,Lorenzo Musetti,10,0.840,1302,49.54%,3,2-1,66.67%,0.150,20,12-8,60.00%,205,104-101,50.73%,,,
clay,88,Lorenzo Sonego,10,0.892,1549,47.77%,5,2-3,40.00%,0.192,26,8-18,30.77%,254,112-142,44.09%,,,
clay,173,Luca Nardi,7,1.062,1248,49.84%,4,1-3,25.00%,0.222,18,9-9,50.00%,183,89-94,48.63%,,,
clay,589,Luca Staeheli,5,0.771,785,47.52%,4,0-4,0.00%,0.333,12,4-8,33.33%,116,54-62,46.55%,,,
clay,129,Luca Van Assche,30,1.068,4852,52.04%,7,3-4,42.86%,0.086,81,53-28,65.43%,755,420-335,55.63%,,,
clay,813,Lucas Andrade Da Silva,6,1.065,914,49.67%,5,3-2,60.00%,0.357,14,7-7,50.00%,146,69-77,47.26%,,,
clay,22,Luciano Darderi,38,1.129,5736,51.83%,16,10-6,62.50%,0.172,93,61-32,65.59%,892,488-404,54.71%,,,
clay,311,Luciano Emanuel Ambrogi,38,0.983,5381,49.71%,7,2-5,28.57%,0.077,91,43-48,47.25%,842,415-427,49.29%,,,
clay,380,Lucio Ratti,11,0.976,1434,49.16%,3,1-2,33.33%,0.120,25,11-14,44.00%,217,105-112,48.39%,,,
clay,195,Luka Mikrut,33,1.200,4787,53.10%,10,7-3,70.00%,0.125,80,55-25,68.75%,754,427-327,56.63%,,,
clay,208,Luka Pavlovic,29,0.793,4168,47.72%,11,6-5,54.55%,0.155,71,28-43,39.44%,670,306-364,45.67%,,,
clay,173,Lukas Neumayer,38,1.053,5385,51.33%,10,7-3,70.00%,0.114,88,55-33,62.50%,828,446-382,53.86%,,,
clay,145,Mackenzie McDonald,6,0.935,811,47.84%,3,1-2,33.33%,0.231,13,5-8,38.46%,127,56-71,44.09%,,,
clay,233,Maks Kasnikowski,20,1.191,2927,50.67%,5,4-1,80.00%,0.100,50,27-23,54.00%,472,236-236,50.00%,,,
clay,372,Manas Dhamne,16,1.119,2742,50.36%,8,4-4,50.00%,0.200,40,20-20,50.00%,407,204-203,50.12%,,,
clay,381,Marat Sharipov,10,0.948,1340,50.60%,3,2-1,66.67%,0.136,22,12-10,54.55%,209,107-102,51.20%,,,
clay,297,Marc-Andrea Huesler,8,1.090,1159,50.73%,5,2-3,40.00%,0.278,18,9-9,50.00%,181,92-89,50.83%,,,
clay,174,Marco Cecchinato,68,1.032,9878,51.16%,28,14-14,50.00%,0.176,159,91-68,57.23%,1546,812-734,52.52%,,,
clay,95,Marco Trungelliti,51,1.138,7917,52.17%,22,12-10,54.55%,0.179,123,80-43,65.04%,1207,669-538,55.43%,,,
clay,45,Marcos Giron,7,0.902,1225,48.90%,3,1-2,33.33%,0.150,20,7-13,35.00%,200,94-106,47.00%,,,
clay,624,Mariano Kestelboim,9,0.662,1065,44.32%,1,0-1,0.00%,0.053,19,4-15,21.05%,168,63-105,37.50%,,,
