surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,414,Aryan Shah,12,35.38%,23,65,0.47,2.17,5.42,0.77,1.92,56.82%,50,88,0.66,2.93,7.33,1.27,3.17
all,227,August Holmgren,46,33.46%,91,272,0.5,2.45,5.91,0.82,1.98,63.16%,156,247,0.46,2.23,5.37,0.82,1.98
all,664,Aziz Dougaz,7,33.33%,14,42,0.46,2.33,6,0.78,2,64.29%,27,42,0.49,2.33,6,0.83,2.14
all,525,Aziz Ouakaa,12,40.91%,18,44,0.37,1.63,3.67,0.67,1.5,48.04%,49,102,0.89,3.78,8.5,1.96,4.42
all,300,Beibit Zhukayev,25,33.33%,46,138,0.47,2.26,5.52,0.75,1.84,66.12%,121,183,0.63,3,7.32,1.02,2.48
all,746,Ben Jones,5,42.86%,6,14,0.27,1.27,2.8,0.55,1.2,58.33%,14,24,0.47,2.18,4.8,0.91,2
all,10,Ben Shelton,48,33.88%,82,242,0.37,1.88,5.04,0.64,1.71,71.24%,166,233,0.35,1.81,4.85,0.52,1.4
all,70,Benjamin Bonzi,41,36.33%,93,256,0.48,2.35,6.24,0.85,2.27,61.67%,148,240,0.45,2.2,5.85,0.84,2.24
all,506,Benjamin Hassan,28,39.66%,71,179,0.55,2.67,6.39,1.06,2.54,55.05%,120,218,0.7,3.25,7.79,1.46,3.5
all,732,Benjamin Torrealba,6,37.14%,13,35,0.55,2.5,5.83,0.93,2.17,43.40%,23,53,0.88,3.79,8.83,2.14,5
all,917,Benoit Paire,5,47.62%,10,21,0.38,1.62,4.2,0.77,2,60.00%,33,55,0.98,4.23,11,1.69,4.4
all,834,Bernabe Zapata Miralles,8,45.00%,18,40,0.51,2.11,5,0.95,2.25,43.24%,32,74,0.94,3.89,9.25,2.21,5.25
all,171,Bernard Tomic,43,37.30%,116,311,0.62,2.99,7.23,1.12,2.7,66.20%,188,284,0.57,2.73,6.6,0.92,2.23
all,155,Billy Harris,40,33.46%,88,263,0.52,2.6,6.58,0.87,2.2,61.92%,161,260,0.52,2.57,6.5,0.98,2.48
all,344,Blaise Bicknell,33,30.89%,59,191,0.5,2.39,5.79,0.74,1.79,59.63%,130,218,0.57,2.73,6.61,1.1,2.67
all,502,Blake Ellis,27,29.01%,47,162,0.48,2.45,6,0.71,1.74,68.31%,125,183,0.55,2.77,6.78,0.88,2.15
all,443,Bor Artnak,8,32.73%,18,55,0.7,3.06,6.88,1,2.25,53.85%,35,65,0.76,3.61,8.12,1.67,3.75
all,169,Borna Gojo,31,42.21%,84,199,0.56,2.76,6.42,1.17,2.71,66.40%,83,125,0.35,1.74,4.03,0.58,1.35
all,70,Botic van de Zandschulp,43,40.07%,113,282,0.52,2.56,6.56,1.03,2.63,58.96%,181,307,0.57,2.79,7.14,1.15,2.93
all,234,Braden Shick,20,46.83%,59,126,0.59,2.74,6.3,1.28,2.95,58.33%,84,144,0.65,3.13,7.2,1.3,3
all,109,Brandon Holt,15,38.61%,39,101,0.54,2.59,6.73,1,2.6,60.58%,63,104,0.56,2.67,6.93,1.05,2.73
all,31,Brandon Nakashima,54,41.32%,131,317,0.46,2.31,5.87,0.96,2.43,63.05%,157,249,0.36,1.82,4.61,0.67,1.7
all,628,Bruno Fernandez,15,39.02%,48,123,0.68,3.32,8.2,1.3,3.2,51.24%,62,121,0.66,3.27,8.07,1.59,3.93
all,616,Bruno Kuzuhara,7,32.56%,14,43,0.5,2.39,6.14,0.78,2,52.94%,27,51,0.6,2.83,7.29,1.33,3.43
all,251,Buvaysar Gadamauri,41,41.58%,121,291,0.62,2.97,7.1,1.23,2.95,61.73%,171,277,0.59,2.83,6.76,1.08,2.59
all,291,Calvin Hemery,43,36.32%,77,212,0.48,2.21,4.93,0.8,1.79,65.04%,160,246,0.55,2.56,5.72,0.9,2
all,48,Cameron Norrie,52,38.71%,132,341,0.52,2.58,6.56,1,2.54,64.44%,212,329,0.5,2.49,6.33,0.89,2.25
all,95,Camilo Ugo Carabelli,47,38.36%,122,318,0.59,2.81,6.77,1.08,2.6,59.05%,199,337,0.63,2.98,7.17,1.22,2.94
all,435,Cannon Kingsley,28,39.87%,63,158,0.48,2.36,5.64,0.94,2.25,62.78%,113,180,0.54,2.69,6.43,1,2.39
all,436,Carl Emil Overbeck,12,35.62%,26,73,0.59,2.92,6.08,1.04,2.17,47.83%,22,46,0.37,1.84,3.83,0.96,2
all,389,Carlo Alberto Caniato,23,35.43%,45,127,0.47,2.31,5.52,0.82,1.96,61.07%,91,149,0.55,2.71,6.48,1.05,2.52
all,2,Carlos Alcaraz,44,40.82%,149,365,0.7,3.26,8.3,1.33,3.39,66.06%,109,165,0.32,1.47,3.75,0.5,1.27
all,551,Carlos Lopez Montagud,7,44.90%,22,49,0.68,3.06,7,1.38,3.14,55.81%,24,43,0.6,2.69,6.14,1.19,2.71
all,412,Carlos Maria Zarate,21,44.17%,53,120,0.53,2.45,5.71,1.08,2.52,59.12%,107,181,0.79,3.69,8.62,1.51,3.52
all,366,Carlos Sanchez Jover,28,48.28%,98,203,0.65,3.17,7.25,1.53,3.5,56.45%,162,287,0.93,4.48,10.25,1.95,4.46
all,405,Carlos Taberner,19,36.98%,71,192,0.96,4.27,10.11,1.58,3.74,57.05%,85,149,0.75,3.31,7.84,1.42,3.37
all,14,Casper Ruud,52,42.20%,138,327,0.53,2.57,6.29,1.09,2.65,67.29%,181,269,0.43,2.12,5.17,0.69,1.69
all,320,Cedrik-Marcel Stebe,25,40.31%,79,196,0.72,3.32,7.84,1.34,3.16,63.55%,129,203,0.74,3.44,8.12,1.25,2.96
all,609,Cesar Bouchelaghem,5,28.57%,8,28,0.54,2.55,5.6,0.73,1.6,55.17%,16,29,0.56,2.64,5.8,1.18,2.6
all,262,Cezar Cretu,27,48.98%,96,196,0.72,3.21,7.26,1.57,3.56,50.53%,96,190,0.7,3.11,7.04,1.54,3.48
all,283,Charles Broom,33,42.11%,88,209,0.53,2.55,6.33,1.07,2.67,56.86%,116,204,0.53,2.49,6.18,1.07,2.67
all,884,Charlie Robertson,5,36.73%,18,49,1.04,4.45,9.8,1.64,3.6,51.52%,17,33,0.73,3,6.6,1.45,3.2
all,191,Chris Rodesch,38,37.78%,85,225,0.52,2.59,5.92,0.98,2.24,63.49%,120,189,0.43,2.17,4.97,0.79,1.82
all,467,Christian Langmo,26,36.75%,43,117,0.41,1.98,4.5,0.73,1.65,64.46%,107,166,0.6,2.81,6.38,1,2.27
all,424,Christoph Negritu,26,32.04%,58,181,0.55,2.78,6.96,0.89,2.23,65.38%,119,182,0.56,2.8,7,0.97,2.42
all,64,Christopher O'Connell,31,36.00%,54,150,0.45,2.24,4.84,0.81,1.74,61.39%,97,158,0.48,2.36,5.1,0.91,1.97
all,234,Chun-Hsin Tseng,37,46.33%,120,259,0.65,3.05,7,1.41,3.24,60.58%,166,274,0.7,3.22,7.41,1.27,2.92
all,204,Clement Chidekh,55,36.99%,182,492,0.78,3.73,8.95,1.38,3.31,59.61%,214,359,0.57,2.72,6.53,1.1,2.64
all,159,Clement Tabur,44,44.33%,133,300,0.55,2.7,6.82,1.2,3.02,64.00%,192,300,0.55,2.7,6.82,0.97,2.45
all,108,Coleman Wong,56,41.10%,127,309,0.46,2.31,5.52,0.95,2.27,64.23%,228,355,0.53,2.65,6.34,0.95,2.27
all,511,Colin Sinclair,6,35.00%,7,20,0.27,1.33,3.33,0.47,1.17,55.32%,26,47,0.65,3.13,7.83,1.4,3.5
all,174,Colton Smith,33,41.71%,88,211,0.58,2.85,6.39,1.19,2.67,65.32%,162,248,0.69,3.35,7.52,1.16,2.61
all,639,Conner Huertas del Pino,13,41.33%,31,75,0.54,2.68,5.77,1.11,2.38,63.95%,55,86,0.62,3.07,6.62,1.11,2.38
all,507,Constantin Bittoun Kouzmine,11,40.00%,26,65,0.55,2.6,5.91,1.04,2.36,66.67%,60,90,0.76,3.6,8.18,1.2,2.73
all,496,Corentin Denolly,18,38.53%,42,109,0.56,2.6,6.06,1,2.33,61.90%,104,168,0.89,4,9.33,1.52,3.56
all,69,Corentin Moutet,47,41.45%,126,304,0.54,2.62,6.47,1.09,2.68,63.84%,226,354,0.64,3.05,7.53,1.1,2.72
all,778,Cosme Rolland De Ravel,6,46.15%,18,39,0.59,2.79,6.5,1.29,3,74.07%,40,54,0.82,3.86,9,1,2.33
all,114,Cristian Garin,31,42.09%,125,297,0.81,3.81,9.58,1.6,4.03,57.14%,132,231,0.62,2.96,7.45,1.27,3.19
all,612,Cruz Hewitt,11,29.33%,22,75,0.61,2.88,6.82,0.85,2,58.57%,41,70,0.56,2.69,6.36,1.12,2.64
all,305,Dali Blanch,39,40.49%,132,326,0.75,3.51,8.36,1.42,3.38,57.59%,148,257,0.6,2.76,6.59,1.17,2.79
all,116,Dalibor Svrcina,42,49.17%,177,360,0.83,3.75,8.57,1.84,4.21,58.41%,191,327,0.76,3.41,7.79,1.42,3.24
all,87,Damir Dzumhur,47,41.18%,133,323,0.59,2.78,6.87,1.15,2.83,56.17%,223,397,0.72,3.42,8.45,1.5,3.7
all,224,Dan Added,52,41.49%,134,323,0.57,2.74,6.21,1.14,2.58,61.28%,220,359,0.64,3.04,6.9,1.18,2.67
all,378,Dan Martin,18,36.14%,30,83,0.38,1.98,4.61,0.71,1.67,62.83%,71,113,0.52,2.69,6.28,1,2.33
all,121,Dane Sweeny,39,39.43%,110,279,0.64,3.07,7.15,1.21,2.82,61.48%,158,257,0.59,2.82,6.59,1.09,2.54
all,93,Daniel Altmaier,58,36.68%,128,349,0.51,2.41,6.02,0.88,2.21,58.89%,212,360,0.52,2.48,6.21,1.02,2.55
all,689,Daniel Antonio Nunez,7,46.88%,15,32,0.44,2,4.57,0.94,2.14,46.51%,20,43,0.62,2.69,6.14,1.44,3.29
all,413,Daniel Dutra da Silva,33,41.38%,96,232,0.67,3.14,7.03,1.3,2.91,51.17%,131,256,0.72,3.46,7.76,1.69,3.79
all,290,Daniel Elahi Galan,33,37.45%,88,235,0.58,2.9,7.12,1.09,2.67,55.79%,135,242,0.6,2.99,7.33,1.32,3.24
all,184,Daniel Evans,6,42.11%,24,57,0.73,3.56,9.5,1.5,4,51.61%,16,31,0.42,1.94,5.17,0.94,2.5
all,371,Daniel Masur,16,39.47%,45,114,0.56,2.92,7.12,1.15,2.81,57.66%,64,111,0.56,2.85,6.94,1.21,2.94
all,296,Daniel Merida,62,43.90%,223,508,0.72,3.34,8.19,1.47,3.6,58.87%,249,423,0.6,2.78,6.82,1.14,2.81
all,302,Daniel Michalski,32,48.93%,114,233,0.65,3.07,7.28,1.5,3.56,46.19%,103,223,0.62,2.93,6.97,1.58,3.75
